ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
10.0,500.000,25.00,25.00,3075.500,2575.500,0.949,120.0,5.533e-02,1.541e-06,37.836,39.460,224.2,1.465e+05,0.000,559.564,142.8,1.386e-01,3.245e-06,0.0,1.401e-06,1.695e-06,1.610e-06,4.5,9.55,219.4,0.26,-52.5,-56.8,-47.8,-50.4,73.0,0.0,-35.3,-9.7,37.7,-9.7,45.0,45.0,137.02,17.73,220.82,22.95,134.56,74.92,9.94,1377648.0,3.3395e+19,2.992e+02,1.400e+00,27.789,1.0000,6.5025e+17,2.55,1.95,36.40,3.1703e+19,95.65,94.93,28.00,1.0413e+18,1.80,3.12,16.00,-999.900
20.0,500.000,25.00,50.00,3075.500,2575.500,0.949,119.5,5.105e-02,1.427e-06,37.703,39.315,223.8,1.465e+05,0.000,560.630,142.8,1.386e-01,3.245e-06,0.0,1.298e-06,1.570e-06,1.380e-06,-3.3,9.55,227.6,441.42,-56.0,-60.0,-51.6,-57.5,73.0,0.0,-77.8,-38.5,-4.8,-38.5,45.0,45.0,137.02,17.73,220.81,0.61,136.33,74.92,9.94,1377648.0,3.0934e+19,2.992e+02,1.400e+00,27.790,1.0000,6.0251e+17,2.55,1.95,36.40,2.9367e+19,95.65,94.94,28.00,9.6418e+17,1.79,3.12,16.00,-999.900
30.0,500.000,25.00,75.00,3075.500,2575.500,0.949,120.5,5.353e-02,1.484e-06,38.011,39.609,224.7,1.465e+05,0.000,563.416,142.8,1.386e-01,3.245e-06,0.0,1.349e-06,1.633e-06,1.407e-06,-5.2,9.55,230.8,441.42,-54.3,-58.4,-49.7,-56.6,73.0,0.0,6.8,-2.0,79.8,-2.0,45.0,45.0,137.02,17.73,220.81,2.28,125.82,74.92,9.94,1377648.0,3.2166e+19,2.992e+02,1.400e+00,27.790,1.0000,6.2643e+17,2.55,1.95,36.40,3.0536e+19,95.65,94.94,28.00,1.0027e+18,1.79,3.12,16.00,-999.900
40.0,500.000,50.00,25.00,3075.500,2575.500,0.949,122.9,5.909e-02,1.607e-06,38.758,40.342,226.9,1.465e+05,0.000,570.654,142.8,1.386e-01,3.245e-06,0.0,1.461e-06,1.768e-06,1.709e-06,6.3,9.55,220.1,1112.65,-50.5,-55.0,-45.5,-47.3,36.1,0.0,23.0,28.4,59.0,28.4,45.0,45.0,137.02,17.73,220.81,22.95,110.83,74.92,9.94,1377648.0,3.4821e+19,2.992e+02,1.400e+00,27.789,1.0000,6.7808e+17,2.55,1.95,36.40,3.3058e+19,95.65,94.93,28.00,1.0857e+18,1.80,3.12,16.00,-999.900
50.0,500.000,50.00,50.00,3075.500,2575.500,0.949,122.6,5.482e-02,1.495e-06,38.653,40.214,226.6,1.465e+05,0.000,572.002,142.8,1.386e-01,3.245e-06,0.0,1.359e-06,1.645e-06,1.778e-06,18.9,9.55,207.8,313.01,-53.9,-58.1,-49.3,-45.2,36.1,0.0,5.0,9.6,41.1,9.6,45.0,45.0,137.02,17.73,220.81,0.61,111.77,74.92,9.94,1377648.0,3.2401e+19,2.992e+02,1.400e+00,27.790,1.0000,6.3112e+17,2.55,1.95,36.40,3.0760e+19,95.65,94.94,28.00,1.0098e+18,1.79,3.12,16.00,-999.900
60.0,500.000,50.00,75.00,3075.500,2575.500,0.949,123.3,5.705e-02,1.547e-06,38.876,40.431,227.3,1.465e+05,0.000,573.763,142.8,1.386e-01,3.245e-06,0.0,1.406e-06,1.701e-06,1.623e-06,4.9,9.55,221.9,313.01,-52.3,-56.7,-47.6,-50.0,36.1,0.0,0.5,-26.3,36.5,-26.3,45.0,45.0,137.02,17.73,220.80,2.28,105.84,74.92,9.94,1377648.0,3.3517e+19,2.992e+02,1.400e+00,27.790,1.0000,6.5279e+17,2.55,1.95,36.40,3.1819e+19,95.65,94.94,28.00,1.0447e+18,1.79,3.12,16.00,-999.900
70.0,500.000,75.00,25.00,3075.500,2575.500,0.949,127.2,7.452e-02,1.957e-06,40.134,41.802,230.9,1.465e+05,0.000,581.608,142.8,1.386e-01,3.245e-06,0.0,1.779e-06,2.153e-06,1.844e-06,-5.8,9.55,237.9,738.78,-39.7,-45.2,-33.6,-43.2,17.5,0.0,-14.7,-28.5,2.8,-28.5,45.0,45.0,137.02,17.73,220.80,22.95,86.72,74.92,9.94,1377648.0,4.2418e+19,2.992e+02,1.400e+00,27.790,1.0000,8.2648e+17,2.55,1.95,36.40,4.0270e+19,95.65,94.94,28.00,1.3215e+18,1.79,3.12,16.00,-999.900
80.0,500.000,75.00,50.00,3075.500,2575.500,0.949,127.0,7.101e-02,1.868e-06,40.080,41.722,230.7,1.465e+05,0.000,582.757,142.8,1.386e-01,3.245e-06,0.0,1.698e-06,2.055e-06,2.025e-06,8.4,9.55,221.6,126.05,-42.4,-47.7,-36.7,-37.6,17.5,0.0,-33.9,43.7,-16.4,43.7,45.0,45.0,137.02,17.73,220.80,0.61,87.08,74.92,9.94,1377648.0,4.0482e+19,2.992e+02,1.400e+00,27.790,1.0000,7.8890e+17,2.55,1.95,36.40,3.8432e+19,95.65,94.94,28.00,1.2608e+18,1.79,3.11,16.00,-999.900
90.0,500.000,75.00,75.00,3075.500,2575.500,0.949,127.4,7.262e-02,1.906e-06,40.174,41.818,231.0,1.465e+05,0.000,583.224,142.8,1.386e-01,3.245e-06,0.0,1.733e-06,2.096e-06,1.912e-06,0.3,9.55,230.6,126.05,-41.3,-46.6,-35.4,-41.1,17.5,0.0,-69.4,32.9,-51.9,32.9,45.0,45.0,137.02,17.73,220.79,2.28,84.81,74.92,9.94,1377648.0,4.1301e+19,2.992e+02,1.400e+00,27.790,1.0000,8.0479e+17,2.55,1.95,36.40,3.9209e+19,95.65,94.94,28.00,1.2864e+18,1.79,3.11,16.00,-999.900
100.0,450.000,25.00,25.00,3025.500,2575.500,0.981,128.5,2.032e-01,5.285e-06,39.222,41.778,232.0,1.465e+05,0.000,529.040,154.7,4.107e-01,8.876e-06,0.0,4.804e-06,5.813e-06,4.607e-06,-12.8,9.55,248.5,1916.59,-40.5,-45.9,-34.5,-48.1,73.0,0.0,36.4,42.8,109.4,42.8,45.0,45.0,137.02,17.73,220.79,22.95,134.57,74.92,9.94,1377648.0,1.1449e+20,2.991e+02,1.400e+00,27.796,1.0000,2.2497e+18,2.57,1.96,36.40,1.0872e+20,95.66,94.96,28.00,3.5235e+18,1.77,3.08,16.00,-999.900
110.0,450.000,25.00,50.00,3025.500,2575.500,0.981,127.9,1.886e-01,4.932e-06,39.040,41.542,231.4,1.465e+05,0.000,529.495,154.7,4.107e-01,8.876e-06,0.0,4.484e-06,5.425e-06,4.005e-06,-18.8,9.55,256.8,434.24,-44.4,-49.5,-38.9,-54.9,73.0,0.0,29.7,-22.1,102.7,-22.1,45.0,45.0,137.02,17.73,220.79,0.61,136.33,74.92,9.94,1377648.0,1.0686e+20,2.991e+02,1.400e+00,27.796,1.0000,2.1001e+18,2.57,1.97,36.40,1.0147e+20,95.66,94.96,28.00,3.2876e+18,1.77,3.08,16.00,-999.900
120.0,450.000,25.00,75.00,3025.500,2575.500,0.981,128.8,1.958e-01,5.084e-06,39.308,41.793,232.2,1.465e+05,0.000,531.661,154.7,4.107e-01,8.876e-06,0.0,4.621e-06,5.592e-06,5.387e-06,6.0,9.55,225.6,434.24,-42.7,-47.9,-37.0,-39.3,73.0,0.0,-9.9,14.4,63.1,14.4,45.0,45.0,137.02,17.73,220.79,2.28,125.81,74.92,9.94,1377648.0,1.1014e+20,2.991e+02,1.400e+00,27.796,1.0000,2.1644e+18,2.57,1.97,36.40,1.0458e+20,95.66,94.96,28.00,3.3889e+18,1.77,3.08,16.00,-999.900
130.0,450.000,50.00,25.00,3025.500,2575.500,0.981,131.0,2.111e-01,5.386e-06,39.978,42.445,234.2,1.465e+05,0.000,537.725,154.7,4.107e-01,8.876e-06,0.0,4.896e-06,5.925e-06,5.217e-06,-3.1,9.55,238.0,1094.56,-39.3,-44.8,-33.3,-41.2,36.1,0.0,-8.8,29.4,27.3,29.4,45.0,45.0,137.02,17.73,220.78,22.95,110.83,74.92,9.94,1377648.0,1.1669e+20,2.991e+02,1.400e+00,27.796,1.0000,2.2931e+18,2.57,1.97,36.40,1.1081e+20,95.66,94.96,28.00,3.5910e+18,1.77,3.08,16.00,-999.900
140.0,450.000,50.00,50.00,3025.500,2575.500,0.981,130.4,1.968e-01,5.044e-06,39.820,42.225,233.7,1.465e+05,0.000,538.395,154.7,4.107e-01,8.876e-06,0.0,4.585e-06,5.548e-06,5.280e-06,4.7,9.55,228.4,307.93,-43.2,-48.3,-37.5,-40.5,36.1,0.0,-5.5,11.2,30.6,11.2,45.0,45.0,137.02,17.73,220.78,0.61,111.77,74.92,9.94,1377648.0,1.0928e+20,2.991e+02,1.400e+00,27.796,1.0000,2.1478e+18,2.57,1.97,36.40,1.0377e+20,95.66,94.96,28.00,3.3619e+18,1.77,3.08,16.00,-999.900
150.0,450.000,50.00,75.00,3025.500,2575.500,0.981,131.1,2.033e-01,5.184e-06,40.022,42.421,234.3,1.465e+05,0.000,539.809,154.7,4.107e-01,8.876e-06,0.0,4.713e-06,5.703e-06,6.337e-06,22.2,9.55,212.0,307.93,-41.6,-46.9,-35.8,-28.6,36.1,0.0,7.0,55.1,43.0,55.1,45.0,45.0,137.02,17.73,220.78,2.28,105.83,74.92,9.94,1377648.0,1.1232e+20,2.991e+02,1.400e+00,27.796,1.0000,2.2074e+18,2.57,1.97,36.40,1.0665e+20,95.66,94.96,28.00,3.4557e+18,1.77,3.08,16.00,-999.900
160.0,450.000,75.00,25.00,3025.500,2575.500,0.981,135.3,2.553e-01,6.310e-06,41.308,43.856,238.0,1.465e+05,0.000,547.756,154.7,4.107e-01,8.876e-06,0.0,5.736e-06,6.941e-06,5.993e-06,-5.0,9.55,244.2,726.78,-28.9,-35.4,-21.8,-32.5,17.5,0.0,53.6,3.2,71.1,3.2,45.0,45.0,137.02,17.73,220.78,22.95,86.73,74.92,9.94,1377648.0,1.3670e+20,2.991e+02,1.400e+00,27.796,1.0000,2.6874e+18,2.57,1.97,36.40,1.2981e+20,95.66,94.96,28.00,4.2040e+18,1.77,3.08,16.00,-999.900
170.0,450.000,75.00,50.00,3025.500,2575.500,0.981,134.9,2.439e-01,6.044e-06,41.212,43.706,237.7,1.465e+05,0.000,548.365,154.7,4.107e-01,8.876e-06,0.0,5.495e-06,6.649e-06,5.961e-06,-1.4,9.55,239.3,124.00,-31.9,-38.1,-25.1,-32.8,17.5,0.0,17.1,-40.6,34.6,-40.6,45.0,45.0,137.02,17.73,220.77,0.62,87.08,74.92,9.94,1377648.0,1.3095e+20,2.991e+02,1.400e+00,27.796,1.0000,2.5747e+18,2.57,1.97,36.40,1.2435e+20,95.66,94.96,28.00,4.0265e+18,1.77,3.07,16.00,-999.900
180.0,450.000,75.00,75.00,3025.500,2575.500,0.981,135.2,2.487e-01,6.149e-06,41.305,43.806,238.0,1.465e+05,0.000,548.791,154.7,4.107e-01,8.876e-06,0.0,5.590e-06,6.764e-06,6.145e-06,-0.1,9.55,238.1,124.00,-30.7,-37.0,-23.8,-30.8,17.5,0.0,41.9,-46.7,59.4,-46.7,45.0,45.0,137.02,17.73,220.77,2.28,84.81,74.92,9.94,1377648.0,1.3322e+20,2.991e+02,1.400e+00,27.796,1.0000,2.6191e+18,2.57,1.97,36.40,1.2650e+20,95.66,94.96,28.00,4.0964e+18,1.77,3.08,16.00,-999.900
