ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Ond_m3,Omass_pct,Omole_pct,Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperatureDaily_K,PressureDaily_Pa,DensityDaily_kgm3,EWWindDaily_ms,NSWindDaily_ms,TemperatureMin_K,TemperatureMax_K,DensityMin_kgm3,DensityMax_kgm3,PlanetoGraphicHeight_km,PlanetoGraphicLatitude_deg,ReferenceHeight_km,ReferenceRadius_km,GroundTemperature_K,ThermosphereBaseHeight_km,ThermosphereBaseTemperature_K,ExosphericTemperature_K,F1PeakHeight_km,Albedo,HeightOffset_km,LocalHeightOffset_km,DustOpticalDepth,DustColumnArealDensity_kgm2,DustMixingRatio,DustMassDensity_ugm3,DustNumberDensity_m3,IceIsPresent,WavePerturbation_pct
10.0,500.000,25.00,25.00,3892.838,3392.838,2.813,127.6,1.744e-10,2.309e-16,268.160,183.047,1118.6,6.063e+02,0.000,7743.600,0.0,0.000e+00,0.000e+00,0.0,1.592e-16,3.348e-16,2.739e-16,18.6,45.00,1027.1,0.29,-99.9,-99.9,-99.9,-99.9,24.8,-85.1,0.000,-21.8,-4.3,4.632,3.0,-89.3,4.632,25.0,25.0,5.000,172.16,3.29,194.07,0.73,149.51,12.58,1.48,88774.9,9.8867e+10,0.000e+00,1.656e+00,1.406,1.0016,1.5078e-05,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,8.3232e+00,0.00,0.00,28.01,5.8981e+09,8.56,5.97,2.02,1.7136e+01,0.00,0.00,28.02,1.4495e-02,0.00,0.00,32.00,1.1119e+10,32.01,11.25,4.00,8.1846e+10,59.38,82.78,1.01,4.5097e+06,0.05,0.00,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,500.232,25.23,500.236,3392.602,180.7,119.628,114.8,127.6,999.900,0.284,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
20.0,500.000,25.00,50.00,3893.104,3393.104,2.813,132.4,2.604e-10,3.032e-16,267.723,180.194,1192.2,5.321e+02,0.000,7588.831,0.0,0.000e+00,0.000e+00,0.0,2.091e-16,4.396e-16,2.276e-16,-24.9,45.00,1376.0,512.07,-99.9,-99.9,-99.9,-99.9,4.3,-51.9,0.000,-15.1,8.2,0.606,-10.7,-43.7,0.606,25.0,25.0,5.000,172.16,3.29,194.03,2.40,134.90,12.58,1.48,88774.9,1.2491e+11,0.000e+00,1.655e+00,1.462,1.1405,7.1211e-05,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,2.6286e+01,0.00,0.00,28.01,7.7638e+09,8.58,6.22,2.02,5.4134e+01,0.00,0.00,28.02,5.2358e-02,0.00,0.00,32.00,1.6235e+10,35.59,13.00,4.00,1.0091e+11,55.75,80.78,1.01,8.8687e+06,0.08,0.01,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,500.497,25.23,500.502,3392.602,165.4,117.699,115.7,132.4,999.900,0.266,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
30.0,500.000,25.00,75.00,3893.220,3393.220,2.812,140.3,3.995e-10,4.213e-16,263.404,174.185,1251.8,5.392e+02,0.000,7357.131,0.0,0.000e+00,0.000e+00,0.0,2.905e-16,6.109e-16,5.297e-16,25.7,45.00,1116.4,512.00,-99.9,-99.9,-99.9,-99.9,-23.8,-13.5,0.000,11.6,16.4,9.027,-12.3,2.8,9.027,25.0,25.0,5.000,172.16,3.29,193.99,4.07,114.38,12.58,1.48,88774.9,1.6109e+11,0.000e+00,1.653e+00,1.575,1.2799,9.8105e-04,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.7531e+02,0.00,0.00,28.01,1.0689e+10,8.50,6.64,2.02,3.6121e+02,0.00,0.00,28.02,4.4484e-01,0.00,0.00,32.00,2.6729e+10,42.17,16.59,4.00,1.2364e+11,49.16,76.75,1.01,2.7051e+07,0.17,0.02,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,500.614,25.23,500.618,3392.602,159.8,117.331,122.4,140.3,999.900,0.246,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
40.0,500.000,50.00,25.00,3885.533,3385.533,2.824,131.8,5.162e-10,5.129e-16,265.154,178.384,1290.6,7.532e+02,0.000,7426.667,0.0,0.000e+00,0.000e+00,0.0,3.537e-16,7.437e-16,5.144e-16,0.3,45.00,1288.8,1288.90,-99.9,-99.9,-99.9,-99.9,29.0,-144.6,0.000,2.1,2.5,-0.052,31.1,-142.1,-0.052,25.0,25.0,5.000,172.16,3.29,193.95,0.74,125.50,12.58,1.48,88774.9,2.1111e+11,0.000e+00,1.655e+00,1.463,1.3442,1.4159e-04,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,4.9653e+01,0.00,0.00,28.01,1.3117e+10,8.57,6.21,2.02,1.0226e+02,0.00,0.00,28.02,1.0061e-01,0.00,0.00,32.00,2.7536e+10,35.68,13.04,4.00,1.7044e+11,55.66,80.73,1.01,1.7206e+07,0.09,0.01,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,501.105,50.29,501.112,3384.421,182.6,120.899,123.1,131.8,999.900,0.269,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
50.0,500.000,50.00,50.00,3885.767,3385.767,2.824,126.0,3.574e-10,3.968e-16,268.479,184.799,1221.5,7.442e+02,0.000,7615.219,0.0,0.000e+00,0.000e+00,0.0,2.737e-16,5.754e-16,3.189e-16,-19.6,45.00,1362.7,362.82,-99.9,-99.9,-99.9,-99.9,-20.0,-132.7,0.000,-15.6,-7.7,-3.059,-35.6,-140.4,-3.059,25.0,25.0,5.000,172.16,3.29,193.91,2.41,118.05,12.58,1.48,88774.9,1.7286e+11,0.000e+00,1.657e+00,1.383,1.1881,1.2491e-05,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,8.6724e+00,0.00,0.00,28.01,1.0120e+10,8.54,5.85,2.02,1.7852e+01,0.00,0.00,28.02,1.3991e-02,0.00,0.00,32.00,1.8143e+10,30.39,10.50,4.00,1.4459e+11,61.03,83.65,1.01,5.6896e+06,0.04,0.00,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,501.339,50.29,501.347,3384.421,172.2,118.815,114.3,126.0,999.900,0.261,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
60.0,500.000,50.00,75.00,3885.946,3385.946,2.823,129.0,4.202e-10,4.312e-16,268.642,183.107,1270.3,7.604e+02,0.000,7582.214,0.0,0.000e+00,0.000e+00,0.0,2.974e-16,6.252e-16,6.777e-16,57.2,45.00,1013.2,362.73,-99.9,-99.9,-99.9,-99.9,-78.3,-69.0,0.000,-19.4,36.8,-2.918,-97.8,-32.2,-2.918,25.0,25.0,5.000,172.16,3.29,193.87,4.08,105.25,12.58,1.48,88774.9,1.8363e+11,0.000e+00,1.656e+00,1.414,1.2848,3.0058e-05,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.6264e+01,0.00,0.00,28.01,1.1035e+10,8.57,6.01,2.02,3.3484e+01,0.00,0.00,28.02,2.8513e-02,0.00,0.00,32.00,2.1101e+10,32.53,11.49,4.00,1.5149e+11,58.85,82.50,1.01,8.0095e+06,0.05,0.00,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,501.518,50.29,501.525,3384.421,166.4,117.693,111.9,129.0,999.900,0.243,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
70.0,500.000,75.00,25.00,3879.449,3379.449,2.833,151.6,1.058e-09,9.662e-16,253.131,165.440,1344.1,8.309e+02,0.000,6933.028,0.0,0.000e+00,0.000e+00,0.0,6.663e-16,1.401e-15,5.674e-16,-41.3,45.00,1753.9,854.70,-99.9,-99.9,-99.9,-99.9,-72.2,-139.8,0.000,6.1,-34.8,4.002,-66.1,-174.6,4.002,25.0,25.0,5.000,172.16,3.29,193.83,0.74,101.22,12.58,1.48,88774.9,3.3109e+11,0.000e+00,1.649e+00,1.757,1.5275,3.5461e-02,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,2.6281e+03,0.00,0.00,28.01,2.3627e+10,8.19,7.14,2.02,5.4179e+03,0.00,0.00,28.02,8.9449e+00,0.00,0.00,32.00,7.3858e+10,50.81,22.31,4.00,2.3341e+11,40.47,70.50,1.01,1.9354e+08,0.53,0.06,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,501.918,75.15,501.920,3377.529,159.8,118.540,129.6,151.6,999.900,0.218,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
80.0,500.000,75.00,50.00,3879.558,3379.558,2.833,147.5,1.082e-09,9.946e-16,257.319,168.774,1340.2,8.236e+02,0.000,7039.677,0.0,0.000e+00,0.000e+00,0.0,6.860e-16,1.442e-15,1.082e-15,8.8,45.00,1285.1,146.20,-99.9,-99.9,-99.9,-99.9,-127.4,-93.1,0.000,-39.2,-4.2,-0.720,-166.6,-97.3,-0.720,25.0,25.0,5.000,172.16,3.29,193.79,2.41,98.63,12.58,1.48,88774.9,3.5612e+11,0.000e+00,1.650e+00,1.682,1.4930,1.2172e-02,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.2824e+03,0.00,0.00,28.01,2.4776e+10,8.34,6.96,2.02,2.6431e+03,0.00,0.00,28.02,3.8814e+00,0.00,0.00,32.00,7.1077e+10,47.50,19.96,4.00,2.6013e+11,43.81,73.05,1.01,1.3198e+08,0.35,0.04,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,502.028,75.15,502.030,3377.529,158.2,117.611,125.2,147.5,999.900,0.272,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
90.0,500.000,75.00,75.00,3879.552,3379.552,2.833,147.6,1.032e-09,9.693e-16,257.715,169.110,1325.5,8.124e+02,0.000,7059.284,0.0,0.000e+00,0.000e+00,0.0,6.685e-16,1.406e-15,1.330e-15,37.2,45.00,1131.5,146.21,-99.9,-99.9,-99.9,-99.9,-159.3,-19.1,0.000,-25.3,6.3,-1.869,-184.7,-12.8,-1.869,25.0,25.0,5.000,172.16,3.29,193.74,4.08,93.83,12.58,1.48,88774.9,3.4728e+11,0.000e+00,1.650e+00,1.681,1.4583,1.1302e-02,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.2093e+03,0.00,0.00,28.01,2.4164e+10,8.35,6.96,2.02,2.4925e+03,0.00,0.00,28.02,3.6413e+00,0.00,0.00,32.00,6.9204e+10,47.45,19.93,4.00,2.5379e+11,43.86,73.08,1.01,1.2468e+08,0.34,0.04,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,502.021,75.15,502.023,3377.529,156.9,117.070,123.1,147.6,999.900,0.287,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
100.0,450.000,25.00,25.00,3842.838,3392.838,2.887,127.6,2.124e-10,3.104e-16,236.837,155.590,1064.4,6.063e+02,0.000,6792.414,0.0,0.000e+00,0.000e+00,0.0,2.141e-16,4.501e-16,2.917e-16,-6.0,45.00,1097.9,3372.77,-99.9,-99.9,-99.9,-99.9,24.6,-84.7,0.000,16.3,13.8,-0.410,41.0,-70.8,-0.410,25.0,25.0,5.000,172.16,3.29,193.70,0.75,149.38,12.58,1.48,88774.9,1.2048e+11,0.000e+00,1.655e+00,1.551,1.0008,3.2605e-03,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,3.6043e+02,0.00,0.00,28.01,7.7321e+09,8.35,6.42,2.02,7.4286e+02,0.00,0.00,28.02,1.0735e+00,0.00,0.00,32.00,1.9042e+10,40.78,15.81,4.00,9.3666e+10,50.55,77.74,1.01,3.8755e+07,0.33,0.03,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,450.232,25.23,450.236,3392.602,180.6,119.593,114.7,127.6,999.900,0.284,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
110.0,450.000,25.00,50.00,3843.104,3393.104,2.887,132.5,3.205e-10,4.124e-16,235.536,153.410,1133.9,5.322e+02,0.000,6627.512,0.0,0.000e+00,0.000e+00,0.0,2.844e-16,5.979e-16,4.300e-16,4.3,45.00,1110.4,505.49,-99.9,-99.9,-99.9,-99.9,3.9,-51.3,0.000,55.5,5.7,5.949,59.4,-45.6,5.949,25.0,25.0,5.000,172.16,3.29,193.66,2.42,134.63,12.58,1.48,88774.9,1.5330e+11,0.000e+00,1.654e+00,1.620,1.1431,1.3105e-02,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.0183e+03,0.00,0.00,28.01,1.0149e+10,8.25,6.62,2.02,2.0993e+03,0.00,0.00,28.02,3.4116e+00,0.00,0.00,32.00,2.7514e+10,44.35,17.95,4.00,1.1557e+11,46.94,75.39,1.01,7.1697e+07,0.46,0.05,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,450.498,25.23,450.502,3392.602,165.3,117.680,115.8,132.5,999.900,0.266,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
120.0,450.000,25.00,75.00,3843.220,3393.220,2.887,140.4,4.912e-10,5.766e-16,230.231,148.044,1186.3,5.392e+02,0.000,6382.988,0.0,0.000e+00,0.000e+00,0.0,3.977e-16,8.361e-16,4.690e-16,-18.7,45.00,1315.3,505.43,-99.9,-99.9,-99.9,-99.9,-24.2,-13.0,0.000,34.0,1.4,1.334,9.8,-11.6,1.334,25.0,25.0,5.000,172.16,3.29,193.62,4.09,114.06,12.58,1.48,88774.9,1.9765e+11,0.000e+00,1.652e+00,1.757,1.2818,1.3418e-01,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,5.5092e+03,0.00,0.00,28.01,1.3709e+10,7.96,6.94,2.02,1.1362e+04,0.00,0.00,28.02,2.2836e+01,0.00,0.00,32.00,4.3801e+10,50.49,22.16,4.00,1.3995e+11,40.65,70.81,1.01,1.9376e+08,0.89,0.10,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,450.614,25.23,450.618,3392.602,159.9,117.340,122.5,140.4,999.900,0.246,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
130.0,450.000,50.00,25.00,3835.533,3385.533,2.898,131.6,6.288e-10,6.934e-16,233.130,151.494,1224.8,7.532e+02,0.000,6483.695,0.0,0.000e+00,0.000e+00,0.0,4.782e-16,1.005e-15,6.268e-16,-9.6,45.00,1288.3,1272.32,-99.9,-99.9,-99.9,-99.9,28.4,-144.8,0.000,-27.8,2.2,4.309,0.7,-142.6,4.309,25.0,25.0,5.000,172.16,3.29,193.58,0.76,125.45,12.58,1.48,88774.9,2.5781e+11,0.000e+00,1.654e+00,1.620,1.3423,2.4945e-02,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.8631e+03,0.00,0.00,28.01,1.7035e+10,8.23,6.61,2.02,3.8409e+03,0.00,0.00,28.02,6.3249e+00,0.00,0.00,32.00,4.6182e+10,44.27,17.91,4.00,1.9445e+11,46.98,75.43,1.01,1.3634e+08,0.52,0.05,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,451.106,50.29,451.112,3384.421,182.5,120.867,123.0,131.6,999.900,0.269,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
140.0,450.000,50.00,50.00,3835.767,3385.767,2.898,126.0,4.338e-10,5.305e-16,237.730,157.266,1163.6,7.442e+02,0.000,6697.038,0.0,0.000e+00,0.000e+00,0.0,3.659e-16,7.693e-16,4.155e-16,-21.7,45.00,1314.7,358.15,-99.9,-99.9,-99.9,-99.9,-20.8,-132.2,0.000,-31.0,-3.0,-0.651,-51.8,-135.2,-0.651,25.0,25.0,5.000,172.16,3.29,193.54,2.43,117.90,12.58,1.48,88774.9,2.1004e+11,0.000e+00,1.656e+00,1.521,1.1869,2.8883e-03,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,3.9339e+02,0.00,0.00,28.01,1.3287e+10,8.39,6.33,2.02,8.1068e+02,0.00,0.00,28.02,1.0929e+00,0.00,0.00,32.00,3.1219e+10,39.11,14.86,4.00,1.6548e+11,52.25,78.79,1.01,5.0188e+07,0.25,0.02,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,451.340,50.29,451.347,3384.421,172.1,118.789,114.2,126.0,999.900,0.261,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
150.0,450.000,50.00,75.00,3835.946,3385.946,2.898,129.1,5.154e-10,5.823e-16,237.253,155.969,1210.4,7.604e+02,0.000,6647.789,0.0,0.000e+00,0.000e+00,0.0,4.016e-16,8.443e-16,4.591e-16,-21.2,45.00,1363.1,358.07,-99.9,-99.9,-99.9,-99.9,-79.1,-67.8,0.000,16.9,-15.7,-3.728,-62.2,-83.5,-3.728,25.0,25.0,5.000,172.16,3.29,193.50,4.10,105.03,12.58,1.48,88774.9,2.2462e+11,0.000e+00,1.655e+00,1.561,1.2876,6.3962e-03,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,6.9718e+02,0.00,0.00,28.01,1.4505e+10,8.34,6.46,2.02,1.4369e+03,0.00,0.00,28.02,2.0863e+00,0.00,0.00,32.00,3.6220e+10,41.34,16.13,4.00,1.7382e+11,50.00,77.39,1.01,6.8586e+07,0.31,0.03,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,451.519,50.29,451.525,3384.421,166.4,117.687,111.9,129.1,999.900,0.243,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
160.0,450.000,75.00,25.00,3829.449,3379.449,2.907,151.5,1.309e-09,1.345e-15,219.257,137.476,1266.9,8.309e+02,0.000,5958.640,0.0,0.000e+00,0.000e+00,0.0,9.273e-16,1.950e-15,2.075e-15,54.3,45.00,1019.9,843.69,-99.9,-99.9,-99.9,-99.9,-73.1,-139.4,0.000,38.6,-3.1,-2.325,-34.5,-142.5,-2.325,25.0,25.0,5.000,172.16,3.29,193.46,0.77,101.20,12.58,1.48,88774.9,4.0982e+11,0.000e+00,1.649e+00,1.976,1.5273,3.2821e+00,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,6.2844e+04,0.00,0.00,28.01,2.9762e+10,7.41,7.26,2.02,1.2967e+05,0.00,0.00,28.02,3.3600e+02,0.00,0.00,32.00,1.1642e+11,57.54,28.41,4.00,2.6245e+11,32.69,64.04,1.01,1.1872e+09,2.35,0.29,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,451.918,75.15,451.920,3377.529,159.8,118.525,129.5,151.5,999.900,0.218,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
170.0,450.000,75.00,50.00,3829.558,3379.558,2.907,147.4,1.332e-09,1.373e-15,223.753,141.830,1265.5,8.237e+02,0.000,6074.930,0.0,0.000e+00,0.000e+00,0.0,9.466e-16,1.990e-15,1.141e-15,-16.8,45.00,1387.7,144.32,-99.9,-99.9,-99.9,-99.9,-128.1,-92.2,0.000,24.0,-13.6,-7.568,-104.1,-105.8,-7.568,25.0,25.0,5.000,172.16,3.29,193.42,2.44,98.58,12.58,1.48,88774.9,4.3858e+11,0.000e+00,1.650e+00,1.885,1.4923,1.2922e+00,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,3.3742e+04,0.00,0.00,28.01,3.1376e+10,7.66,7.15,2.02,6.9608e+04,0.00,0.00,28.02,1.6266e+02,0.00,0.00,32.00,1.1346e+11,54.94,25.87,4.00,2.9290e+11,35.75,66.78,1.01,8.5447e+08,1.65,0.19,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,452.028,75.15,452.030,3377.529,158.2,117.599,125.1,147.4,999.900,0.272,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
180.0,450.000,75.00,75.00,3829.552,3379.552,2.907,147.6,1.269e-09,1.336e-15,224.151,142.298,1251.9,8.124e+02,0.000,6093.583,0.0,0.000e+00,0.000e+00,0.0,9.211e-16,1.937e-15,2.007e-16,-85.0,45.00,3229.3,144.33,-99.9,-99.9,-99.9,-99.9,-159.6,-17.9,0.000,20.1,0.5,-2.208,-139.4,-17.4,-2.208,25.0,25.0,5.000,172.16,3.29,193.38,4.11,93.75,12.58,1.48,88774.9,4.2697e+11,0.000e+00,1.650e+00,1.884,1.4581,1.2112e+00,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,3.2012e+04,0.00,0.00,28.01,3.0561e+10,7.67,7.16,2.02,6.6038e+04,0.00,0.00,28.02,1.5370e+02,0.00,0.00,32.00,1.1043e+11,54.96,25.86,4.00,2.8517e+11,35.77,66.79,1.01,8.0941e+08,1.61,0.19,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,452.021,75.15,452.023,3377.529,156.9,117.066,123.1,147.6,999.900,0.287,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
190.0,400.000,25.00,25.00,3792.838,3392.838,2.965,127.6,2.665e-10,4.436e-16,202.599,124.240,996.9,6.062e+02,0.000,5764.529,0.0,0.000e+00,0.000e+00,0.0,3.060e-16,6.433e-16,7.306e-16,64.7,45.00,776.9,3345.12,-99.9,-99.9,-99.9,-99.9,24.4,-84.3,0.000,21.8,-4.0,-4.013,46.2,-88.3,-4.013,25.0,25.0,5.000,172.16,3.29,193.34,0.78,149.26,12.58,1.48,88774.9,1.5123e+11,0.000e+00,1.654e+00,1.767,1.0001,8.1164e-01,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.7229e+04,0.00,0.00,28.01,1.0210e+10,7.71,6.75,2.02,3.5546e+04,0.00,0.00,28.02,8.8999e+01,0.00,0.00,32.00,3.3079e+10,49.56,21.87,4.00,1.0759e+11,40.62,71.14,1.01,3.5239e+08,2.11,0.23,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,400.233,25.23,400.236,3392.602,180.5,119.558,114.7,127.6,999.900,0.284,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
200.0,400.000,25.00,50.00,3793.104,3393.104,2.964,132.6,4.068e-10,5.973e-16,200.552,121.600,1061.1,5.322e+02,0.000,5595.319,0.0,0.000e+00,0.000e+00,0.0,4.119e-16,8.660e-16,1.117e-15,87.0,45.00,776.1,498.91,-99.9,-99.9,-99.9,-99.9,3.6,-50.8,0.000,-34.6,-3.9,2.871,-31.1,-54.7,2.871,25.0,25.0,5.000,172.16,3.29,193.30,2.45,134.36,12.58,1.48,88774.9,1.9397e+11,0.000e+00,1.653e+00,1.854,1.1457,2.7411e+00,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,4.3156e+04,0.00,0.00,28.01,1.3353e+10,7.49,6.88,2.02,8.9057e+04,0.00,0.00,28.02,2.4631e+02,0.00,0.00,32.00,4.7230e+10,52.56,24.35,4.00,1.3278e+11,37.24,68.45,1.01,6.1011e+08,2.71,0.31,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,400.498,25.23,400.502,3392.602,165.2,117.662,115.8,132.6,999.900,0.266,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
210.0,400.000,25.00,75.00,3793.220,3393.220,2.964,140.6,6.244e-10,8.470e-16,193.759,113.861,1103.2,5.392e+02,0.000,5325.336,0.0,0.000e+00,0.000e+00,0.0,5.841e-16,1.228e-15,1.059e-15,25.1,45.00,986.4,498.85,-99.9,-99.9,-99.9,-99.9,-24.6,-12.4,0.000,-25.3,-10.3,-0.726,-49.9,-22.8,-0.726,25.0,25.0,5.000,172.16,3.29,193.26,4.12,113.75,12.58,1.48,88774.9,2.5067e+11,0.000e+00,1.651e+00,2.035,1.2836,2.0708e+01,0.00,0.00,39.96,0.0000e+00,0.00,0.00,44.01,1.8841e+05,0.00,0.00,28.01,1.7688e+10,7.00,7.06,2.02,3.8894e+05,0.00,0.00,28.02,1.2912e+03,0.00,0.00,32.00,7.2647e+10,57.01,28.98,4.00,1.5888e+11,31.42,63.38,1.01,1.4565e+09,4.57,0.58,16.00,0.0000e+00,0.00,0.00,18.02,0.0,0.000e+00,0.000e+00,0.0,0.0,0.0,0.0,0.000e+00,0.000e+00,400.615,25.23,400.618,3392.602,160.0,117.349,122.6,140.6,999.900,0.246,-0.001,-0.001,0.300,0.002,0.000,0.000,0.000,99,0.0
